id,title,company,location,salary,work_type,description,requirements,skills
18,Senior Java Backend Engineer,HRS Group,Ho Chi Minh,You'll love it,Not specified,"Trung tâm Công nghệ thông tin là đơn vị xây dựng, triển khai, duy trì các hệ thống phần mềm, số hóa các quy trình thuộc lĩnh vực quản trị doanh nghiệp (tài chính, tài sản, kho, mua sắm, nhân sự...) trong Tập đoàn, triển khai các công cụ phần mềm hỗ trợ nghiệp vụ cho các đơn vị trực thuộc. Đồng thời, trung tâm cũng nghiên cứu và triển khai các giải pháp ERP nhằm nâng cao năng lực quản trị, nâng cao hiệu quả sử dụng tài nguyên (bao gồm cả tài nguyên con người), nhất quán về cách thức quản lý và đảm bảo tính tuân thủ của Viettel trên toàn cầu. 
Phát triển backend (sử dụng NodeJS/Java/PHP), đảm bảo đáp ứng đúng các yêu cầu nghiệp vụ.
Phối hợp với các bộ phận liên quan để làm rõ yêu cầu kỹ thuật, xây dựng kiến trúc hệ thống và tích hợp dữ liệu.
Tham gia viết unit test, kiểm thử chức năng và xử lý lỗi trong quá trình triển khai.
Deploy code trên server test và production.
Giám sát và đảm bảo hệ thống vận hành ổn định, tối ưu.
Nghiên cứu và đề xuất cải tiến hiệu năng, kiến trúc hệ thống, công nghệ mới nhằm nâng cao chất lượng sản phẩm, tối ưu hóa hệ thống để xử lý dữ liệu lớn.
Các công việc khác theo phân công của quản lý","Tốt nghiệp Đại học loại khá trở lên chuyên ngành CNTT, KHMT hoặc các ngành liên quan.
TOIEC >=550 hoặc tương đương.
Có ít nhất 3 năm kinh nghiệm lập trình backend (sử dụng NodeJS/Java/PHP).
Có kiến thức và tư duy lập trình hướng đối tượng (OOP).
Có hiểu biết về CI/CD
Có kiến thức về cơ sở dữ liệu.
Có kiến thức về an toàn thông tin
Có hiểu biết về quy trình phát triển phần mềm theo mô hình Agile/Scrum.
Ưu tiên ứng viên có kinh nghiệm tích hợp hệ thống và triển khai ứng dụng trên nền tảng cloud (AWS, GCP,...).","NodeJS, Java, PHP, OOP, CI/CD, Backend Developer, Telecommunication"
19,Java Web Developer (Java/ReactJS),CODE88 COMPANY LIMITED,Ho Chi Minh,"Up to 18,000,000 vnđ",Not specified,"- Tham gia phát triển, bảo trì và tối ưu hóa các website thương mại điện tử, đặc biệt là trên nền tảng CS-Cart.
- Thiết kế và xây dựng giao diện người dùng thân thiện, chuẩn UI/UX.
- Phát triển các tính năng mới cả về frontend và backend, đảm bảo hiệu suất và tính bảo mật.
- Phối hợp với team thiết kế, quản lý dự án và QA để triển khai sản phẩm chất lượng cao.
- Tham gia phân tích yêu cầu, đưa ra giải pháp kỹ thuật hợp lý cho các tính năng của hệ thống.
- Có kinh nghiệm custom addon, theme hoặc core trên CS-Cart.
- Làm việc theo mô hình labo, kỹ sư sẽ trở thành nhà phát triển chuyên trách của khách hàng, nhận chỉ thị và báo cáo trực tiếp với khách hàng Nhật Bản.","BẮT BUỘC:
- Có ít nhất 1–2 năm kinh nghiệm phát triển web fullstack (PHP, JavaScript).
- Có kinh nghiệm làm việc với một trong các framework: Laravel, Symfony, hoặc tương đương.
Thành thạo HTML, CSS, JavaScript (ưu tiên biết jQuery, và có kinh nghiệm xử lý responsive UI)
- Có khả năng tạo tài liệu thiết kế tổng quát và chi tiết để trình bày cho khách hàng.
- Có khả năng phân tích, tự học, và giải quyết vấn đề độc lập.
- Có kinh nghiệm thực tế với CS-Cart
 ƯU TIÊN:
- Ưu tiên ứng viên có sản phẩm thực tế hoặc đã từng tham gia phát triển hệ thống TMĐT.
- Ưu tiên ứng viên có kinh nghiệm làm việc trực tiếp với khách hàng Nhật hoặc từng làm việc trong mô hình labo.","Fullstack, HTML5, PHP, JavaScript, CSS, Laravel, Fullstack Developer, IT Services and IT Consulting"
20,Senior QA/QC Engineer/Designer (English),"ANDPAD VietNam Co., Ltd",Ho Chi Minh,Very attractive!!!,Not specified,"1. Thiết kế & Quản trị khung kiểm soát dự án
Xây dựng, vận hành và tối ưu hệ thống quản lý quy trình SDLC.
Phối hợp Bộ phận Quản trị Hệ thống (Jira Admin) cấu hình workflow, trường tùy chỉnh, báo cáo.
2. Giám sát & Đánh giá tuân thủ
Giám sát hoạt động dự án để phát hiện sớm các vấn đề.
Thực hiện audit định kỳ/đột xuất; lập khuyến nghị và theo dõi kế hoạch khắc phục.
3. Quản lý rủi ro dự án
Phối hợp Quản lý dự án xác định rủi ro, đề xuất và giám sát biện pháp phòng ngừa/khắc phục.
Đảm bảo quy trình đáp ứng ISO 9001, ISO 27001, CMMI, ITIL và quy định pháp luật.
4. Báo cáo & Cải tiến liên tục
Tổng hợp báo cáo chất lượng dự án tuần/tháng cho Ban Lãnh đạo.
Phân tích nguyên nhân gốc rễ, đề xuất giải pháp Kaizen/PDCA và tự động hóa quy trình khi khả thi.
5. Hỗ trợ & Đào tạo đội ngũ
Đào tạo thành viên dự án về quy trình, công cụ và kiểm soát chất lượng.
Xây dựng và cập nhật định kỳ tài liệu e-learning.","Tốt nghiệp đại học trở lên.
Tối thiểu 3 năm kinh nghiệm tại vị trí tương đương.
Có kinh nghiệm triển khai và giám sát quy trình trong tổ chức.
Có khả năng hướng dẫn, đào tạo và hỗ trợ đơn vị thực hiện quy trình.
Kinh nghiệm xây dựng công cụ giám sát, đánh giá hiệu quả vận hành.
Khả năng phân tích dữ liệu để đo lường và cải tiến quy trình.
Sử dụng thành thạo công cụ báo cáo (Excel nâng cao, Power BI, Tableau, SQL).
Kỹ năng sử dụng công cụ quản lý và giám sát quy trình.
Thành thạo các công cụ BPM (Bizagi, Camunda, Visio) để thiết kế và theo dõi quy trình.
Sử dụng thành thạo các nền tảng quản lý công việc (Jira, Confluence, ServiceNow).
Am hiểu về các hệ thống giám sát hiệu suất (KPI, OKR).
Ưu tiên có các chứng chỉ chất lượng: ISO 9001, ISO 27001, CSQA, Lean Six Sigma,...
Có tố chất và tư duy phù hợp với hệ giá trị cốt lõi của công ty .","PQA, QA QC, Tester, ISO 27001, IT Audit, Governance, Risk & Compliance, Test Coordinator / QAQC Coordinator, Banking, IT Services and IT Consulting, Securities & Investment, Financial Services"
1,"Data Engineer (SQL, MongoDB, Oracle, Java/Python)",Công Ty Cổ Phần Chứng Khoán Thành Công,Ho Chi Minh,You'll love it,Not specified,"Create efficient ETL processes for data extraction, transformation, and loading.
Ensure high-quality data by implementing validation checks and monitoring.
Collaborate with data analysts to deploy semantic models into production.
Optimize data pipelines for scalability and performance.
Build solutions to monitor performance of the data pipelines deployed and take corrective measures when necessary.
Work closely with software engineers, product managers, data analysts and data scientists.
Communicate findings to technical and non-technical stakeholders through clear and compelling presentations and reports.
Take part in innovation projects and collaborate closely with academic institutions.","Experience: Minimum of 3 years in a data engineering role.
Technical Skills:
Proficiency in designing data pipelines and ETL tools (e.g., Azure Databricks or MS Fabric).
Proficiency in Python or strong SQL knowledge for data manipulation and querying.
Experience with Microsoft Azure cloud platform.
Experience with CI/CD pipelines and good software development practices, including version control, code organization and testing.
Knowledge in DataOps and MLOps.
Experience working in an agile (Scrum or Kanban) framework.
Ability to share knowledge and mentoring junior team members.
Good analytical skills.
Very good understanding of data models and experience with medallion architect.
Eager to learn work with the newest technologies.
High initiative and ability to work independently.
Solution-oriented, pragmatic, with an eye for detail and capable of explaining decisions and results.
Good communication skills.","Data Engineer, Python, SQL, Azure, Data Engineer, Real Estate, Property and Construction"
2,Leader/Mid/Senior Android Developer(Java/Kotlin),Blogic Systems,Ho Chi Minh,You'll love it,Not specified,"About Us: Bosch Sensortec
Bosch Sensortec is the technology leader in sensing solutions based on microelectromechanical systems (MEMS) and dedicated to the consumer electronics world. Our success in MEMS sensors and solutions is built on a remarkable team driven by passion, innovation and flexibility. 
 Find out more about the applications we make possible for smartphones, tablets, wearables, AR/VR, smart homes and the IoT in our website
 Key responsibilities:
Develop and maintain apps using Flutter & Dart.
Integrate with native components (C, C#, C++).
Ensure app performance, scalability and stability.
Review code, debug issues, and write clear documentation.
Collaborate with cross-functional teams to bring intuitive UI/UX to life.","Must-have:
Bachelor / Master degree, major in Computer Science or Information Technology or related field
Strong experience with Flutter / Dart.
Experience building cross-platform apps (Android/iOS/Windows).
Solid understanding of OOP, SOLID, MVVM/MVC, BLoC.
Good knowledge of multithreading, file handling, streams.
Proficiency in English (written and spoken).
 Nice-to-have:
Knowledge of BLE, sensor integration, or location services.
Experience with embedded systems or full-stack Flutter development.
Familiarity with CI/CD, Git, Jenkins, Jira, Confluence.","Flutter, Android, iOS, OOP, Dart, Windows, Mobile Application Developer, Software Development Outsourcing, Software Products and Web Services"
3,Senior Java Software Engineer (working in Singapore),Integro Technologies,Ha Noi,"Up to 18,000,000 vnđ",Not specified,"- Tham gia phát triển, bảo trì và tối ưu hóa các website thương mại điện tử, đặc biệt là trên nền tảng CS-Cart.
- Thiết kế và xây dựng giao diện người dùng thân thiện, chuẩn UI/UX.
- Phát triển các tính năng mới cả về frontend và backend, đảm bảo hiệu suất và tính bảo mật.
- Phối hợp với team thiết kế, quản lý dự án và QA để triển khai sản phẩm chất lượng cao.
- Tham gia phân tích yêu cầu, đưa ra giải pháp kỹ thuật hợp lý cho các tính năng của hệ thống.
- Có kinh nghiệm custom addon, theme hoặc core trên CS-Cart.
- Làm việc theo mô hình labo, kỹ sư sẽ trở thành nhà phát triển chuyên trách của khách hàng, nhận chỉ thị và báo cáo trực tiếp với khách hàng Nhật Bản.","BẮT BUỘC:
- Có ít nhất 1–2 năm kinh nghiệm phát triển web fullstack (PHP, JavaScript).
- Có kinh nghiệm làm việc với một trong các framework: Laravel, Symfony, hoặc tương đương.
Thành thạo HTML, CSS, JavaScript (ưu tiên biết jQuery, và có kinh nghiệm xử lý responsive UI)
- Có khả năng tạo tài liệu thiết kế tổng quát và chi tiết để trình bày cho khách hàng.
- Có khả năng phân tích, tự học, và giải quyết vấn đề độc lập.
- Có kinh nghiệm thực tế với CS-Cart
 ƯU TIÊN:
- Ưu tiên ứng viên có sản phẩm thực tế hoặc đã từng tham gia phát triển hệ thống TMĐT.
- Ưu tiên ứng viên có kinh nghiệm làm việc trực tiếp với khách hàng Nhật hoặc từng làm việc trong mô hình labo.","Fullstack, HTML5, PHP, JavaScript, CSS, Laravel, Fullstack Developer, IT Services and IT Consulting"
4,"Application Integration Engineer (Java, English)",CESA Vietnam (part of CEVA Logistic),Ho Chi Minh,Negotiation,Not specified,"CEVA Logistics provides global supply chain solutions to connect people, products and providers all around the world. Present in 170 countries and with more than 110,000 employees spread over 1,500 sites, we are well on our way to achieving our vision: to be a Top 5 global 3PL.
We believe that our employees are the key to our success. We want to engage and empower our diverse, global team to co-create value with our customers through our solutions in contract logistics and air, ocean, ground, and finished vehicle transport. That is why CEVA Logistics offers a dynamic and exceptional work environment that fosters personal growth, innovation, and continuous improvement.
CESA Vietnam was founded in 2018; CESA started as a development center in Vietnam,then now became a technology company of CEVA Logistic, specializing in Microsoft .Net technologies (ASP.Net MVC, API, Azure,...), ESB platform (Webmethods, Java...) and delivers projects using Agile methodology.
Working with us, you’ll have the opportunity to develop your skills and career in an exciting workplace in touch with an international and innovative environment.
DARE TO GROW! Join CESA Vietnam / CEVA Logistics, and you will be part of a team that values imagination, encourages boldness and exemplarity, and is committed to excellence in everything we do. Join us in our mission to shape the future of global logistics as we become a global leader in the logistics industry. As we continue growing at a fast pace, will you “Dare to Grow” with us?
Main tasks and activities
Responsible in designing, implementing, and maintaining integrations between applications/systems (internal applications within CEVA or external applications from numerous trading partners), ensuring smooth data flow and communication
Design, develop, review, test, and manage underlaying integration frameworks and components that are being used by other integration teams
Responsible for mentoring, reviewing code and helping other team members with technical issues
Ensure maintenance and management of developed solutions
Participate to common daily/weekly meeting with project teams based in Paris or India.
Realize daily and weekly activity reporting using Group tools","Educational background
Graduate in computer science or related fields
Technical skills
For Middle level: 3+ years of experience as a software engineer in a complex development environment.
For Senior level: 5+ years of experience as a software engineer in a complex development environment.
Solid experience in Java programming language
Experience in designing & developing RESTful APIs
Experience with unit testing and integration testing
Advantageous to have: 
Domain knowledge and experience in Transport and Logistics is a plus
Experience in working as enterprise application integration engineer before
Hands-on experience with any messaging system/service such as RabbitMQ, Kafka, Google Cloud Pub/Sub, etc.
Experience with any Cloud platforms (Microsoft Azure, AWS, GCP, etc.)
Language
Good communication in English (written and spoken)
Soft skills
Have good logical and critical thinking 
Having passion for technology and a continuous learning mindset
Good problem-solving and analytical skills
Good team player and positive attitude","Java, English, Cloud, Integration & Legacy Systems Developer, IT Services and IT Consulting, Transportation, Logistics and Warehouse, Software Products and Web Services"
5,"Senior Data Engineer (Python, SQL)",MODEC,Ho Chi Minh,You'll love it,Not specified,"Create efficient ETL processes for data extraction, transformation, and loading.
Ensure high-quality data by implementing validation checks and monitoring.
Collaborate with data analysts to deploy semantic models into production.
Optimize data pipelines for scalability and performance.
Build solutions to monitor performance of the data pipelines deployed and take corrective measures when necessary.
Work closely with software engineers, product managers, data analysts and data scientists.
Communicate findings to technical and non-technical stakeholders through clear and compelling presentations and reports.
Take part in innovation projects and collaborate closely with academic institutions.","Experience: Minimum of 3 years in a data engineering role.
Technical Skills:
Proficiency in designing data pipelines and ETL tools (e.g., Azure Databricks or MS Fabric).
Proficiency in Python or strong SQL knowledge for data manipulation and querying.
Experience with Microsoft Azure cloud platform.
Experience with CI/CD pipelines and good software development practices, including version control, code organization and testing.
Knowledge in DataOps and MLOps.
Experience working in an agile (Scrum or Kanban) framework.
Ability to share knowledge and mentoring junior team members.
Good analytical skills.
Very good understanding of data models and experience with medallion architect.
Eager to learn work with the newest technologies.
High initiative and ability to work independently.
Solution-oriented, pragmatic, with an eye for detail and capable of explaining decisions and results.
Good communication skills.","Data Engineer, Python, SQL, Azure, Data Engineer, Real Estate, Property and Construction"
6,"Fullstack Developer (Javascript, Express/ NextJS/Koa)",Công Ty Cổ Phần Chứng Khoán Thành Công,Ho Chi Minh,"Up to 18,000,000 vnđ",Not specified,"- Tham gia phát triển, bảo trì và tối ưu hóa các website thương mại điện tử, đặc biệt là trên nền tảng CS-Cart.
- Thiết kế và xây dựng giao diện người dùng thân thiện, chuẩn UI/UX.
- Phát triển các tính năng mới cả về frontend và backend, đảm bảo hiệu suất và tính bảo mật.
- Phối hợp với team thiết kế, quản lý dự án và QA để triển khai sản phẩm chất lượng cao.
- Tham gia phân tích yêu cầu, đưa ra giải pháp kỹ thuật hợp lý cho các tính năng của hệ thống.
- Có kinh nghiệm custom addon, theme hoặc core trên CS-Cart.
- Làm việc theo mô hình labo, kỹ sư sẽ trở thành nhà phát triển chuyên trách của khách hàng, nhận chỉ thị và báo cáo trực tiếp với khách hàng Nhật Bản.","BẮT BUỘC:
- Có ít nhất 1–2 năm kinh nghiệm phát triển web fullstack (PHP, JavaScript).
- Có kinh nghiệm làm việc với một trong các framework: Laravel, Symfony, hoặc tương đương.
Thành thạo HTML, CSS, JavaScript (ưu tiên biết jQuery, và có kinh nghiệm xử lý responsive UI)
- Có khả năng tạo tài liệu thiết kế tổng quát và chi tiết để trình bày cho khách hàng.
- Có khả năng phân tích, tự học, và giải quyết vấn đề độc lập.
- Có kinh nghiệm thực tế với CS-Cart
 ƯU TIÊN:
- Ưu tiên ứng viên có sản phẩm thực tế hoặc đã từng tham gia phát triển hệ thống TMĐT.
- Ưu tiên ứng viên có kinh nghiệm làm việc trực tiếp với khách hàng Nhật hoặc từng làm việc trong mô hình labo.","Fullstack, HTML5, PHP, JavaScript, CSS, Laravel, Fullstack Developer, IT Services and IT Consulting"
7,Backend Engineer (Python) - AGI,Trusting Social,Ho Chi Minh,You'll love it,Not specified,"Trung tâm Công nghệ thông tin là đơn vị xây dựng, triển khai, duy trì các hệ thống phần mềm, số hóa các quy trình thuộc lĩnh vực quản trị doanh nghiệp (tài chính, tài sản, kho, mua sắm, nhân sự...) trong Tập đoàn, triển khai các công cụ phần mềm hỗ trợ nghiệp vụ cho các đơn vị trực thuộc. Đồng thời, trung tâm cũng nghiên cứu và triển khai các giải pháp ERP nhằm nâng cao năng lực quản trị, nâng cao hiệu quả sử dụng tài nguyên (bao gồm cả tài nguyên con người), nhất quán về cách thức quản lý và đảm bảo tính tuân thủ của Viettel trên toàn cầu. 
Phát triển backend (sử dụng NodeJS/Java/PHP), đảm bảo đáp ứng đúng các yêu cầu nghiệp vụ.
Phối hợp với các bộ phận liên quan để làm rõ yêu cầu kỹ thuật, xây dựng kiến trúc hệ thống và tích hợp dữ liệu.
Tham gia viết unit test, kiểm thử chức năng và xử lý lỗi trong quá trình triển khai.
Deploy code trên server test và production.
Giám sát và đảm bảo hệ thống vận hành ổn định, tối ưu.
Nghiên cứu và đề xuất cải tiến hiệu năng, kiến trúc hệ thống, công nghệ mới nhằm nâng cao chất lượng sản phẩm, tối ưu hóa hệ thống để xử lý dữ liệu lớn.
Các công việc khác theo phân công của quản lý","Tốt nghiệp Đại học loại khá trở lên chuyên ngành CNTT, KHMT hoặc các ngành liên quan.
TOIEC >=550 hoặc tương đương.
Có ít nhất 3 năm kinh nghiệm lập trình backend (sử dụng NodeJS/Java/PHP).
Có kiến thức và tư duy lập trình hướng đối tượng (OOP).
Có hiểu biết về CI/CD
Có kiến thức về cơ sở dữ liệu.
Có kiến thức về an toàn thông tin
Có hiểu biết về quy trình phát triển phần mềm theo mô hình Agile/Scrum.
Ưu tiên ứng viên có kinh nghiệm tích hợp hệ thống và triển khai ứng dụng trên nền tảng cloud (AWS, GCP,...).","NodeJS, Java, PHP, OOP, CI/CD, Backend Developer, Telecommunication"
8,"2 .NET Developer (ASP.NET, C#) Up to $1300",Vega Corporation,Ha Noi,"2,000 - 4,000 USD",Not specified,"PRIMARY JOB RESPONSIBILITIES
Development Oversight: Lead the software development life cycle, ensuring project delivery aligns with organizational objectives. 
Technical Solutions Design: Collaborate with stakeholders to design efficient software solutions and verify technical feasibility.
Architectural Guidance & Design: Define system architecture, establish coding standards, and ensure alignment with non-functional requirements.
Architectural Execution & Integration: Oversee software development, facilitate continuous integration/deployment, and maintain monitoring for system performance.
Architectural Validation & Quality Assurance: Conduct architecture evaluations, enforce continuous testing, and validate non-functional requirements.
Architectural Management: Develop project roadmaps, manage technical risks, maintain the technical backlog, and mentor team members.","POSITION QUALIFICATIONS AND REQUIREMENT
Full-stack Development Expertise: Extensive experience in both backend (Node.js/NestJS) and frontend (React/Next.js) development.
Communication: Fluency in English is required.
Experience: 3-5 years of experience in a similar Technical Architect role.
Cloud Infrastructure: Advanced knowledge of cloud platforms (preferably Google Cloud), with expertise in Kubernetes, Service Mesh, and optimizing infrastructure for large-scale, secure, and resilient systems.
Application Architecture: Expertise in designing, evaluating, and validating modern software architectures such as Microservices, Domain-Driven Design (DDD), Clean Architecture.
Data Architecture: Expertise in designing and managing data models, with a strong focus on PostgreSQL, as well as other SQL/NoSQL databases, ensuring optimal performance and scalability.
Non-Functional Requirements: Proven expertise in managing and optimizing system non-functional requirements, including performance, security, and scalability.
Technical Troubleshooting: Strong problem-solving skills for diagnosing and resolving technical and production incidents effectively.
Technical Communication: Excellent communication skills to convey complex technical concepts clearly to both technical and non-technical stakeholders.
PERSONAL ATTRIBUTES:
Experience in mentoring people
Calm in finding resolutions for issues/problems","Software Architecture, DevOps, Cloud, Software/Technical Architect, IT Services and IT Consulting, Software Products and Web Services"
9,Software Testing Engineer,Datalogic Việt Nam,Ho Chi Minh,You'll love it,Not specified,"We are seeking an experienced Testing Software Engineer with a minimum of 2+ years of experience in software testing and quality assurance. In this role, you will be responsible for designing, developing, and executing test plans and automated test suites for a range of software applications and systems. You will play a key role in ensuring that our software products meet the highest quality standards and perform as expected:
Collaborate to test projects, including planning, progress tracking, and test coverage analysis. 
Monitors project status, test coverage, and test case/defect quality. Analyzes project cost, efficiency, and risks. 
Collaborates with development team to define test requirements, cases, and timelines. 
Collaborate with development teams to understand requirements and resolve testing issues.
Conducts and oversees various testing types (functional, regression, performance). 
Analyzes test results and drives continuous improvement of testing processes. 
Provides weekly project updates and reports, including achievements, issues, and risks.","TECHNICAL SKILLS:
Experience in software testing, with a focus on automatic identification products.
Proficient in Agile development methodologies (Scrum, Kanban) and experience working in Agile teams.   
Proficient in test management tools such as Jira, JAZZ IBM, and experience with other Agile project management tools.
Experience in test automation frameworks such as Robot Framework and Test Complete...
Experience in developing and maintaining automated test scripts using [e.g., Python, Java…].
Strong analytical and problem-solving skills: Ability to identify and troubleshoot complex technical issues.
SOFT SKILLS:
Ability to effectively prioritize tasks and meet deadlines.
Excellent communication skills: Ability to clearly articulate technical issues to both technical and non-technical stakeholders.
Eagerness for new technologies and innovation: A passion for staying up to date with the latest testing trends and technologies in the Auto ID industry.
EXPERIENCES: 
2+ years of experience in Testing SW
EDUCATION: 
Telecommunication Engineering, Computers Science and Electronic, Information Technology or related major
NICE TO HAVE: 
ISTQB Foundation certificates 
Agile Foundation certificates 
API Testing specialist certificates","Tester, Java, Python, Jira, Robot Framework, TestComplete, Software Engineer in Test (SDET), Manufacturing and Engineering"
10,C++ Developer,ARIS Vietnam,Ho Chi Minh,You'll love it,Not specified,"Trung tâm Công nghệ thông tin là đơn vị xây dựng, triển khai, duy trì các hệ thống phần mềm, số hóa các quy trình thuộc lĩnh vực quản trị doanh nghiệp (tài chính, tài sản, kho, mua sắm, nhân sự...) trong Tập đoàn, triển khai các công cụ phần mềm hỗ trợ nghiệp vụ cho các đơn vị trực thuộc. Đồng thời, trung tâm cũng nghiên cứu và triển khai các giải pháp ERP nhằm nâng cao năng lực quản trị, nâng cao hiệu quả sử dụng tài nguyên (bao gồm cả tài nguyên con người), nhất quán về cách thức quản lý và đảm bảo tính tuân thủ của Viettel trên toàn cầu. 
Phát triển backend (sử dụng NodeJS/Java/PHP), đảm bảo đáp ứng đúng các yêu cầu nghiệp vụ.
Phối hợp với các bộ phận liên quan để làm rõ yêu cầu kỹ thuật, xây dựng kiến trúc hệ thống và tích hợp dữ liệu.
Tham gia viết unit test, kiểm thử chức năng và xử lý lỗi trong quá trình triển khai.
Deploy code trên server test và production.
Giám sát và đảm bảo hệ thống vận hành ổn định, tối ưu.
Nghiên cứu và đề xuất cải tiến hiệu năng, kiến trúc hệ thống, công nghệ mới nhằm nâng cao chất lượng sản phẩm, tối ưu hóa hệ thống để xử lý dữ liệu lớn.
Các công việc khác theo phân công của quản lý","Tốt nghiệp Đại học loại khá trở lên chuyên ngành CNTT, KHMT hoặc các ngành liên quan.
TOIEC >=550 hoặc tương đương.
Có ít nhất 3 năm kinh nghiệm lập trình backend (sử dụng NodeJS/Java/PHP).
Có kiến thức và tư duy lập trình hướng đối tượng (OOP).
Có hiểu biết về CI/CD
Có kiến thức về cơ sở dữ liệu.
Có kiến thức về an toàn thông tin
Có hiểu biết về quy trình phát triển phần mềm theo mô hình Agile/Scrum.
Ưu tiên ứng viên có kinh nghiệm tích hợp hệ thống và triển khai ứng dụng trên nền tảng cloud (AWS, GCP,...).","NodeJS, Java, PHP, OOP, CI/CD, Backend Developer, Telecommunication"
11,Chuyên Viên Kiểm Toán Công Nghệ Thông Tin,Ngân hàng TMCP Lộc Phát Việt Nam LPBank,Ha Noi,You'll love it,Not specified,"Kỹ sư tư vấn (Pre-Sales) giải pháp ATTT
Có kiến thức về các giải pháp mảng ATTT (SAST, DAST, IAST, Threat Modeling…)
Hỗ trợ khách hàng tư vấn, thử nghiệm các giải pháp ATTT mà công ty phân phối (SAST, DAST, IAST, Threat Modeling…)
Kỹ Năng Thuyết Trình và Giao Tiếp:
Chuẩn bị nội dung và thực hiện các buổi trình bày giải pháp bảo mật hoặc các buổi cập nhật công nghệ.
Giao tiếp hiệu quả để giải thích các vấn đề kỹ thuật phức tạp một cách dễ hiểu với khách hàng.
Phối hợp với các đội ngũ nội bộ để phản hồi và xử lý các yêu cầu của khách hàng.
Quan Hệ Khách Hàng:
Duy trì mối quan hệ tốt với khách hàng, hỗ trợ các yêu cầu hậu mãi và nâng cao mức độ hài lòng.
Đề xuất nâng cấp, bảo trì hoặc mở rộng giải pháp để đáp ứng nhu cầu phát sinh của khách hàng.
Cập Nhật Công Nghệ:
Nghiên cứu, học hỏi và cập nhật các công nghệ bảo mật mới nhất để hỗ trợ khách hàng tốt hơn.
Tham gia các chương trình đào tạo nội bộ hoặc bên ngoài để nâng cao kỹ năng chuyên môn.","Kiến Thức và Kinh Nghiệm:
Tốt nghiệp đại học chuyên ngành Công nghệ Thông tin, An ninh mạng, hoặc các ngành liên quan.
Có từ 2-3 năm kinh nghiệm trong triển khai hoặc tư vấn các giải pháp an toàn thông tin.
Kỹ Năng:
Kỹ năng phân tích và xử lý vấn đề tốt.
Kỹ năng thuyết trình và giao tiếp tốt, đặc biệt là với khách hàng.
Có khả năng làm việc độc lập và phối hợp nhóm hiệu quả.
Chứng Chỉ Ưu Tiên (không bắt buộc):
Các chứng chỉ bảo mật cơ bản như AWS, CompTIA Security+, hoặc tương đương là lợi thế.
Ngôn Ngữ:
Tiếng Anh cơ bản: có khả năng đọc hiểu tài liệu kỹ thuật và giao tiếp.","Solution Architecture, Presale, Security, Cybersecurity, Security Consultant, IT Services and IT Consulting"
12,Chuyên gia Quản trị Cơ sở dữ liệu - K.CNTT,PVcomBank,Ha Noi,You'll love it,Not specified,"Quản lý đảm bảo hoạt động của hệ thống CSDL toàn ngân hàng bao gồm một hoặc nhiều các loại CSDL sau: MongoDB, PostgreSQL, NoSQL, Oracle, SQL Server, MySQL/MariaDB.
Triển khai, cấu hình, giám sát tối ưu hiệu năng, thực hiện thay đổi, nâng cấp phiên bản hệ thống CSDL.
Xây dựng và áp dụng các giải pháp dự phòng, công cụ giám sát CSDL (Grafana/Prometheus,...) và công cụ tự động hóa trong vận hành hệ thống.
Tham gia các dự án của ngân hàng liên quan đến hệ thống dữ liệu.","Tốt nghiệp đại học chính quy ngành Công nghệ thông tin, Toán tin, Điện tử viễn thông,...
Chấp nhận ứng viên mới/chuẩn bị tốt nghiệp, yêu cầu tốt nghiệp loại Khá trở lên.
Ưu tiên có kinh nghiệm xây dựng công cụ giám sát (Prometheus/Grafana) hoặc quản trị phần mềm ETL.
Có kinh nghiệm về SQL/PLSQL, bash shell, Linux/Unix/Windows.
Có chứng chỉ MariaDB, OCA, OCP của Oracle, MS SQL Server hoặc tương đương là lợi thế.
Kỹ năng nghiên cứu, viết tài liệu, thuyết trình, phân tích và giải quyết vấn đề tốt.
Khả năng làm việc nhóm và độc lập tốt.
Tiếng Anh tốt, có thể làm việc trực tiếp với đối tác nước ngoài.
Trung thực, cẩn trọng, chịu được áp lực cao","Database, SQL, Linux, Unix, Microsoft SQL Server, ETL, Database Administrator, Banking"
